review_id,listing_id,reviewer_id,date,comments
51,3,44226,2022-08-18,"Amazing views, will return!"
52,3,62854,2023-05-23,"Lovely place, highly recommend!"
53,3,11166,2022-09-21,Small but functional.
54,3,20884,2023-07-30,"Not as described, disappointed."
55,3,52160,2023-01-11,Perfect for a family stay.
56,3,98063,2023-11-07,Good value for money.
57,3,62232,2023-03-31,Stunning property.
58,3,17986,2022-01-13,Noisy neighbourhood at night.
59,3,23253,2022-11-14,"Central location, easy access."
60,3,83847,2022-02-03,Noisy neighbourhood at night.
61,4,59853,2022-05-20,"Central location, easy access."
62,4,27597,2022-12-31,Host was very responsive.
63,4,84465,2024-02-15,Small but functional.
64,4,97906,2022-10-10,Host was very responsive.
65,4,20265,2024-01-17,Clean and comfortable.
66,4,11889,2023-10-07,Stunning property.
67,4,62912,2023-09-14,"Average stay, nothing special."
68,4,78655,2024-03-02,Perfect for a family stay.
69,4,38843,2022-12-13,"Central location, easy access."
70,4,61828,2023-09-14,"Amazing views, will return!"
71,4,88627,2022-07-10,Perfect for a family stay.
72,4,41687,2022-04-20,"Lovely place, highly recommend!"
73,4,50737,2023-02-15,"Amazing views, will return!"
74,4,19651,2022-12-21,"Average stay, nothing special."
75,4,85133,2022-08-16,"Central location, easy access."
76,4,54537,2023-07-29,"Average stay, nothing special."
77,4,10439,2023-01-17,Small but functional.
78,4,85371,2023-11-20,Perfect for a family stay.
79,4,51981,2023-12-08,Perfect for a family stay.
80,4,34031,2022-11-01,"Not as described, disappointed."
81,5,7386,2024-01-28,Great host and location.
82,5,21467,2024-01-18,"Lovely place, highly recommend!"
83,5,14213,2023-04-26,Stunning property.
84,5,8632,2022-09-13,Clean and comfortable.
85,5,45208,2023-06-13,"Amazing views, will return!"
86,5,61538,2023-11-04,Noisy neighbourhood at night.
87,5,69611,2022-06-18,Small but functional.
88,5,71303,2023-11-08,"Average stay, nothing special."
89,5,25267,2024-01-31,"Amazing views, will return!"
90,5,97174,2022-12-01,"Amazing views, will return!"
91,5,17826,2023-07-20,Good value for money.
92,5,25847,2024-03-11,Great host and location.
93,5,43759,2022-08-31,Good value for money.
94,5,49999,2022-12-10,"Lovely place, highly recommend!"
95,5,17789,2023-07-14,"Not as described, disappointed."
96,5,94151,2023-09-10,Host was very responsive.
97,5,50490,2022-01-04,Small but functional.
98,5,91464,2022-02-12,Small but functional.
99,5,78901,2022-04-06,Stunning property.
100,5,97748,2022-02-21,Clean and comfortable.
101,6,82622,2023-04-15,Good value for money.
102,6,41890,2022-05-12,Perfect for a family stay.
103,6,84753,2022-01-29,"Not as described, disappointed."
104,6,47809,2023-09-23,Would definitely book again.
105,6,82188,2022-09-24,"Average stay, nothing special."
106,6,9018,2023-12-01,Host was very responsive.
107,6,66451,2022-05-24,"Amazing views, will return!"
108,6,59309,2024-01-22,Perfect for a family stay.
109,6,52638,2024-02-26,"Average stay, nothing special."
110,6,97785,2023-05-03,"Average stay, nothing special."
111,6,53591,2023-02-23,Clean and comfortable.
112,6,41122,2022-12-01,Stunning property.
113,6,98594,2023-10-18,Great host and location.
114,6,93085,2022-09-15,Great host and location.
115,6,16935,2022-01-18,Noisy neighbourhood at night.
116,6,95530,2022-08-18,Host was very responsive.
117,6,65144,2023-06-22,Host was very responsive.
118,6,53971,2022-10-16,Great host and location.
119,6,80933,2022-07-21,Small but functional.
120,6,24101,2023-10-14,"Average stay, nothing special."
121,7,58249,2023-12-21,Stunning property.
122,7,82547,2023-12-22,Perfect for a family stay.
123,7,81239,2023-10-29,"Lovely place, highly recommend!"
124,7,58648,2023-04-15,Clean and comfortable.
125,7,8202,2022-11-06,Good value for money.
126,7,32741,2022-09-01,Small but functional.
127,7,91763,2023-04-15,Small but functional.
128,7,13164,2023-01-13,"Amazing views, will return!"
129,7,72746,2023-08-10,Host was very responsive.
130,7,39939,2022-03-06,Great host and location.
131,7,82359,2023-08-30,Small but functional.
132,7,46689,2023-05-12,Noisy neighbourhood at night.
133,7,21843,2022-02-08,Good value for money.
134,7,97915,2023-12-20,Host was very responsive.
135,7,7825,2023-06-16,Clean and comfortable.
136,7,83827,2022-02-24,Great host and location.
137,7,79960,2023-03-24,Would definitely book again.
138,7,71021,2023-12-08,"Not as described, disappointed."
139,7,41557,2023-01-22,Noisy neighbourhood at night.
140,7,58324,2022-03-05,Clean and comfortable.
141,8,95751,2022-09-22,Good value for money.
142,8,23859,2022-09-27,Stunning property.
143,8,86421,2022-01-12,Perfect for a family stay.
144,8,77953,2022-03-26,Perfect for a family stay.
145,8,35014,2023-04-18,"Amazing views, will return!"
146,8,84439,2022-12-19,"Central location, easy access."
147,8,7504,2024-01-30,Noisy neighbourhood at night.
148,8,93780,2023-07-29,Great host and location.
149,8,63111,2023-10-20,Perfect for a family stay.
150,8,63473,2023-02-06,"Central location, easy access."
151,8,35971,2023-02-16,"Amazing views, will return!"
152,8,93141,2023-03-29,Noisy neighbourhood at night.
153,8,57730,2022-06-08,Host was very responsive.
154,8,28799,2022-01-01,Good value for money.
155,8,44618,2022-04-02,Noisy neighbourhood at night.
156,8,67953,2022-07-01,"Central location, easy access."
157,8,69005,2022-09-11,Great host and location.
158,8,17165,2023-11-19,Host was very responsive.
159,8,51999,2022-11-25,Small but functional.
160,8,9417,2024-03-09,"Central location, easy access."
161,9,60229,2022-08-13,Clean and comfortable.
162,9,92199,2022-07-01,Would definitely book again.
163,9,82916,2023-05-18,"Average stay, nothing special."
164,9,71925,2023-02-21,"Average stay, nothing special."
165,9,43485,2023-02-18,Great host and location.
166,9,43328,2022-08-18,"Average stay, nothing special."
167,9,80611,2023-03-20,"Central location, easy access."
168,9,65808,2022-04-03,"Not as described, disappointed."
169,9,30998,2022-07-20,Perfect for a family stay.
170,9,81277,2023-10-01,Clean and comfortable.
171,9,63023,2024-01-05,Good value for money.
172,9,32868,2023-10-28,Great host and location.
173,9,31595,2023-08-29,Perfect for a family stay.
174,9,73703,2022-04-01,Stunning property.
175,9,21857,2022-11-21,"Central location, easy access."
176,9,28339,2024-02-05,"Lovely place, highly recommend!"
177,9,47788,2024-02-25,"Lovely place, highly recommend!"
178,9,54097,2024-03-04,Great host and location.
179,9,51895,2023-02-09,"Not as described, disappointed."
180,9,45619,2023-12-08,Host was very responsive.
181,10,82599,2023-11-06,Good value for money.
182,10,76791,2023-01-25,Great host and location.
183,10,16455,2023-01-15,"Lovely place, highly recommend!"
184,10,94538,2023-07-07,Good value for money.
185,10,12790,2022-05-16,Perfect for a family stay.
186,10,31874,2023-07-26,Clean and comfortable.
187,10,52588,2023-09-12,Perfect for a family stay.
188,10,67396,2023-07-06,Noisy neighbourhood at night.
189,10,78625,2022-12-18,Host was very responsive.
190,10,63799,2022-05-27,"Lovely place, highly recommend!"
191,10,92656,2022-11-28,Would definitely book again.
192,10,47414,2022-09-10,Good value for money.
193,10,58937,2022-11-30,"Not as described, disappointed."
194,10,6768,2023-08-17,"Average stay, nothing special."
195,10,51066,2023-06-05,"Amazing views, will return!"
196,10,95453,2023-01-31,"Amazing views, will return!"
197,10,97698,2022-05-30,"Central location, easy access."
198,10,30355,2023-10-01,Noisy neighbourhood at night.
199,10,34173,2023-07-26,Good value for money.
200,10,10322,2022-02-27,"Lovely place, highly recommend!"
201,11,80938,2023-10-13,"Not as described, disappointed."
202,11,45121,2022-01-08,Good value for money.
203,11,21780,2023-11-08,"Lovely place, highly recommend!"
204,11,40882,2022-04-04,Good value for money.
205,11,36464,2024-03-07,Host was very responsive.
206,11,96671,2023-06-12,Clean and comfortable.
207,11,22886,2024-02-25,Great host and location.
208,11,20224,2022-05-21,"Central location, easy access."
209,11,88818,2022-07-15,Clean and comfortable.
210,11,13961,2022-08-27,Small but functional.
211,11,69307,2023-08-31,"Amazing views, will return!"
212,11,85877,2023-07-12,Noisy neighbourhood at night.
213,11,15714,2023-10-08,Clean and comfortable.
214,11,97098,2022-05-30,"Not as described, disappointed."
215,11,32244,2023-01-09,Noisy neighbourhood at night.
216,11,56157,2023-09-14,Small but functional.
217,11,29953,2022-09-04,Stunning property.
218,11,99147,2022-06-27,Stunning property.
219,11,33444,2022-02-28,Stunning property.
220,11,36934,2022-08-17,Would definitely book again.
221,12,35398,2023-01-10,Host was very responsive.
222,12,48444,2022-02-13,Great host and location.
223,12,67287,2024-01-24,"Lovely place, highly recommend!"
224,12,76089,2023-04-22,Perfect for a family stay.
225,12,66311,2022-04-28,Host was very responsive.
226,12,40590,2022-07-27,Clean and comfortable.
227,12,81568,2022-04-21,Great host and location.
228,12,58481,2024-01-23,"Not as described, disappointed."
229,12,90006,2023-05-31,Clean and comfortable.
230,12,21701,2023-05-08,Would definitely book again.
231,12,6734,2023-04-18,Stunning property.
232,12,77106,2023-06-20,Great host and location.
233,12,40002,2022-04-19,Noisy neighbourhood at night.
234,12,45899,2023-05-17,Noisy neighbourhood at night.
235,12,98065,2023-02-15,"Amazing views, will return!"
236,12,83876,2022-03-03,Noisy neighbourhood at night.
237,12,28518,2023-08-23,Small but functional.
238,12,62730,2023-08-17,"Central location, easy access."
239,12,13934,2023-01-17,Would definitely book again.
240,12,12768,2023-12-07,Good value for money.
241,13,63217,2023-03-21,Stunning property.
242,13,54436,2022-01-03,"Central location, easy access."
243,13,12933,2022-05-06,"Average stay, nothing special."
244,13,76846,2022-12-02,Clean and comfortable.
245,13,19769,2023-07-06,"Central location, easy access."
246,13,61324,2024-02-10,"Lovely place, highly recommend!"
247,13,62861,2023-06-23,"Central location, easy access."
248,13,79479,2022-10-08,Perfect for a family stay.
249,13,75436,2022-11-03,Clean and comfortable.
250,13,40992,2022-09-04,Perfect for a family stay.
251,13,99265,2023-12-06,"Central location, easy access."
252,13,68273,2023-11-16,"Central location, easy access."
253,13,16049,2023-08-08,Stunning property.
254,13,61153,2022-02-21,Stunning property.
255,13,20171,2023-02-27,Perfect for a family stay.
256,13,13594,2023-09-02,Perfect for a family stay.
257,13,42001,2022-10-05,Would definitely book again.
258,13,34149,2023-11-28,Would definitely book again.
259,13,19112,2022-08-29,"Not as described, disappointed."
260,13,84209,2024-03-04,"Lovely place, highly recommend!"
261,14,76234,2023-12-12,"Not as described, disappointed."
262,14,54231,2022-10-29,Host was very responsive.
263,14,31157,2022-09-10,"Amazing views, will return!"
264,14,43766,2022-10-28,Stunning property.
265,14,54686,2023-10-17,Good value for money.
266,14,6635,2022-06-10,Noisy neighbourhood at night.
267,14,28509,2022-04-11,Stunning property.
268,14,80322,2022-10-25,Great host and location.
269,14,84037,2023-10-01,"Lovely place, highly recommend!"
270,14,88871,2023-10-04,Stunning property.
271,14,26829,2023-02-19,Perfect for a family stay.
272,14,19499,2023-08-12,Perfect for a family stay.
273,14,24628,2022-09-11,"Lovely place, highly recommend!"
274,14,10131,2023-11-02,Stunning property.
275,14,30613,2023-09-16,Clean and comfortable.
276,14,72826,2022-07-24,Great host and location.
277,14,28882,2022-04-01,"Lovely place, highly recommend!"
278,14,65375,2023-01-01,Host was very responsive.
279,14,44207,2022-11-28,Small but functional.
280,14,96131,2023-01-26,Perfect for a family stay.
281,15,75076,2023-01-03,Host was very responsive.
282,15,16244,2024-01-18,Good value for money.
283,15,19716,2022-05-24,"Central location, easy access."
284,15,57838,2023-01-19,"Central location, easy access."
285,15,39129,2023-02-05,Good value for money.
286,15,53990,2023-02-19,Perfect for a family stay.
287,15,84547,2022-02-28,"Central location, easy access."
288,15,5137,2022-01-09,Clean and comfortable.
289,15,77332,2022-08-10,Host was very responsive.
290,15,76805,2024-02-15,Perfect for a family stay.
291,15,58958,2022-04-25,Perfect for a family stay.
292,15,38233,2023-08-16,Noisy neighbourhood at night.
293,15,36441,2022-07-17,"Average stay, nothing special."
294,15,90396,2023-07-14,"Central location, easy access."
295,15,88281,2024-03-09,Would definitely book again.
296,15,31084,2023-10-14,"Central location, easy access."
297,15,73836,2022-10-06,Noisy neighbourhood at night.
298,15,72845,2023-06-10,Small but functional.
299,15,10711,2023-10-13,"Central location, easy access."
300,15,31361,2022-01-29,Good value for money.
301,16,98536,2022-05-30,Would definitely book again.
302,16,54571,2022-11-17,Clean and comfortable.
303,16,22978,2022-02-24,"Average stay, nothing special."
304,16,34050,2023-02-09,Great host and location.
305,16,86943,2023-04-05,Good value for money.
306,16,52185,2023-11-16,"Central location, easy access."
307,16,15755,2023-12-22,"Not as described, disappointed."
308,16,36893,2022-08-08,Small but functional.
309,16,95957,2024-03-04,Small but functional.
310,16,81612,2023-05-25,"Central location, easy access."
311,16,47716,2023-09-03,Clean and comfortable.
312,16,62077,2022-09-26,Stunning property.
313,16,93556,2022-06-22,Stunning property.
314,16,67349,2024-02-26,Good value for money.
315,16,61745,2023-03-14,"Amazing views, will return!"
316,16,82695,2022-09-30,"Not as described, disappointed."
317,16,55620,2023-01-04,Clean and comfortable.
318,16,55649,2023-04-03,Great host and location.
319,16,60990,2024-02-28,"Central location, easy access."
320,16,73650,2022-07-29,"Amazing views, will return!"
321,17,57752,2022-01-21,Clean and comfortable.
322,17,9563,2023-10-27,Great host and location.
323,17,49091,2023-09-10,Would definitely book again.
324,17,44025,2022-04-01,Noisy neighbourhood at night.
325,17,31983,2024-01-14,"Amazing views, will return!"
326,17,31879,2022-12-15,"Not as described, disappointed."
327,17,20737,2023-02-20,"Central location, easy access."
328,17,11234,2022-03-02,"Average stay, nothing special."
329,17,70827,2023-11-11,"Amazing views, will return!"
330,17,11877,2022-05-18,Perfect for a family stay.
331,17,78594,2022-04-15,Great host and location.
332,17,63755,2023-02-19,"Not as described, disappointed."
333,17,16296,2023-08-28,Noisy neighbourhood at night.
334,17,52009,2023-02-18,Perfect for a family stay.
335,17,90941,2022-09-04,Small but functional.
336,17,11044,2022-02-18,Great host and location.
337,17,72146,2023-02-10,"Average stay, nothing special."
338,17,70193,2022-03-17,Good value for money.
339,17,43831,2023-09-05,Host was very responsive.
340,17,99126,2022-02-21,Small but functional.
341,18,96820,2022-06-25,"Central location, easy access."
342,18,23836,2023-06-18,Perfect for a family stay.
343,18,78874,2023-02-16,"Lovely place, highly recommend!"
344,18,76406,2022-11-02,"Central location, easy access."
345,18,31335,2023-07-14,Host was very responsive.
346,18,6669,2023-06-20,Clean and comfortable.
347,18,85771,2023-04-11,Would definitely book again.
348,18,54435,2022-05-23,Noisy neighbourhood at night.
349,18,23512,2022-01-11,Would definitely book again.
350,18,56455,2024-02-18,Host was very responsive.
351,18,96119,2023-09-27,"Average stay, nothing special."
352,18,67312,2022-08-10,Small but functional.
353,18,53153,2022-10-06,Perfect for a family stay.
354,18,38013,2022-03-04,Perfect for a family stay.
355,18,41062,2023-03-08,Noisy neighbourhood at night.
356,18,82366,2022-07-19,Great host and location.
357,18,82411,2022-05-05,Clean and comfortable.
358,18,90951,2023-05-02,"Average stay, nothing special."
359,18,63181,2024-03-08,Perfect for a family stay.
360,18,16294,2023-11-19,Stunning property.
361,19,23545,2022-03-22,"Central location, easy access."
362,19,97028,2023-10-27,Clean and comfortable.
363,19,23353,2022-08-15,Good value for money.
364,19,49919,2022-10-17,Stunning property.
365,19,77947,2022-10-16,"Lovely place, highly recommend!"
366,19,33556,2023-02-07,Would definitely book again.
367,19,24753,2023-01-25,Noisy neighbourhood at night.
368,19,24643,2023-03-04,Host was very responsive.
369,19,94461,2023-07-06,Good value for money.
370,19,92313,2022-03-15,Stunning property.
371,19,95341,2023-01-29,Great host and location.
372,19,27456,2023-07-14,Host was very responsive.
373,19,70970,2022-01-04,"Lovely place, highly recommend!"
374,19,63529,2023-09-15,Would definitely book again.
375,19,58055,2023-02-25,Host was very responsive.
376,19,40923,2022-05-08,Perfect for a family stay.
377,20,62906,2023-06-06,Clean and comfortable.
378,20,36007,2022-08-27,Good value for money.
379,20,47036,2023-09-17,"Lovely place, highly recommend!"
380,20,54188,2023-09-01,"Average stay, nothing special."
381,20,94859,2022-03-15,Host was very responsive.
382,20,92518,2024-02-22,"Not as described, disappointed."
383,20,57495,2022-09-19,"Amazing views, will return!"
384,20,29798,2022-06-15,Small but functional.
385,20,63007,2022-07-20,Great host and location.
386,20,97650,2022-05-16,Good value for money.
387,20,74480,2022-07-17,Host was very responsive.
388,20,5211,2022-10-04,"Lovely place, highly recommend!"
389,20,23007,2024-02-06,Perfect for a family stay.
390,20,24680,2024-01-19,Would definitely book again.
391,20,31815,2024-02-12,"Average stay, nothing special."
392,20,15124,2023-11-15,Would definitely book again.
393,20,59349,2022-03-15,"Amazing views, will return!"
394,20,22574,2023-08-20,"Lovely place, highly recommend!"
395,20,28403,2022-12-16,Good value for money.
396,20,83552,2023-08-01,"Average stay, nothing special."
397,21,74969,2022-08-24,Host was very responsive.
398,21,19771,2023-07-22,Perfect for a family stay.
399,21,74967,2023-04-02,"Lovely place, highly recommend!"
400,21,32366,2024-03-11,"Average stay, nothing special."
401,21,7320,2024-02-15,Great host and location.
402,21,43574,2022-04-25,"Average stay, nothing special."
403,21,80045,2023-06-04,"Amazing views, will return!"
404,21,51250,2024-02-26,Noisy neighbourhood at night.
405,21,79466,2022-10-13,Small but functional.
406,21,96411,2022-04-13,Host was very responsive.
407,21,36049,2024-01-01,"Average stay, nothing special."
408,21,41000,2022-10-23,Perfect for a family stay.
409,21,18525,2023-12-31,"Central location, easy access."
410,21,59592,2023-02-19,"Not as described, disappointed."
411,21,89346,2022-04-17,"Not as described, disappointed."
412,21,55567,2023-01-07,"Central location, easy access."
413,21,93518,2023-01-01,Noisy neighbourhood at night.
414,21,35967,2022-07-31,Good value for money.
415,21,12121,2023-09-14,Small but functional.
416,21,55280,2023-03-22,Good value for money.
417,22,44776,2023-05-08,Perfect for a family stay.
418,22,76017,2023-07-02,Would definitely book again.
419,22,67251,2022-08-17,Host was very responsive.
420,22,87631,2022-08-10,Good value for money.
421,22,54971,2023-04-09,Clean and comfortable.
422,22,56768,2023-06-24,Host was very responsive.
423,22,16530,2022-02-01,Clean and comfortable.
424,22,82332,2023-10-11,Perfect for a family stay.
425,22,72775,2023-04-11,"Average stay, nothing special."
426,22,92891,2022-11-11,Host was very responsive.
427,22,66171,2022-04-20,Would definitely book again.
428,22,23596,2023-06-07,"Not as described, disappointed."
429,22,87982,2023-05-21,"Amazing views, will return!"
430,22,28836,2022-11-13,Stunning property.
431,22,17859,2022-01-22,"Lovely place, highly recommend!"
432,22,71769,2022-01-01,Perfect for a family stay.
433,22,53171,2023-02-11,"Central location, easy access."
434,22,9364,2022-09-17,"Not as described, disappointed."
435,22,12331,2023-11-20,Noisy neighbourhood at night.
436,22,30951,2022-08-23,"Amazing views, will return!"
437,23,86538,2022-12-11,Perfect for a family stay.
438,23,42089,2022-12-12,Stunning property.
439,23,50639,2023-02-16,"Central location, easy access."
440,23,25692,2022-10-20,"Central location, easy access."
441,23,51301,2022-06-08,Clean and comfortable.
442,23,68807,2023-10-25,Host was very responsive.
443,23,94752,2023-03-03,Would definitely book again.
444,23,94373,2022-11-20,Clean and comfortable.
445,23,25139,2023-11-20,"Central location, easy access."
446,23,55365,2023-10-31,Small but functional.
447,23,43573,2024-01-04,"Lovely place, highly recommend!"
448,23,6751,2023-12-30,Noisy neighbourhood at night.
449,23,20703,2023-08-26,"Average stay, nothing special."
450,23,21764,2023-02-20,"Average stay, nothing special."
451,23,8698,2022-04-24,"Average stay, nothing special."
452,23,60516,2022-01-20,"Not as described, disappointed."
453,23,41731,2023-11-16,Perfect for a family stay.
454,23,41420,2022-12-12,Perfect for a family stay.
455,23,13056,2023-07-14,Clean and comfortable.
456,23,25562,2022-02-25,Clean and comfortable.
457,24,29589,2023-08-30,Noisy neighbourhood at night.
458,24,48652,2022-11-16,Great host and location.
459,24,54920,2023-01-29,"Not as described, disappointed."
460,24,70595,2022-02-20,Stunning property.
461,24,11412,2023-09-21,Stunning property.
462,24,14660,2023-10-07,"Amazing views, will return!"
463,24,22917,2023-07-19,Would definitely book again.
464,24,24787,2023-12-21,Perfect for a family stay.
465,24,49369,2023-09-11,Stunning property.
466,24,91647,2022-01-03,"Lovely place, highly recommend!"
467,24,34939,2024-02-29,"Not as described, disappointed."
468,24,85971,2022-02-15,Great host and location.
469,24,94240,2022-09-23,Would definitely book again.
470,24,16299,2023-04-17,Noisy neighbourhood at night.
471,24,53717,2023-07-15,Noisy neighbourhood at night.
472,24,64208,2022-11-18,Perfect for a family stay.
473,24,34621,2022-02-22,Great host and location.
474,24,45716,2023-09-22,Good value for money.
475,24,80789,2022-11-19,Stunning property.
476,24,84495,2023-02-28,Small but functional.
477,25,5798,2023-03-27,"Lovely place, highly recommend!"
478,25,48130,2022-04-29,Host was very responsive.
479,25,9550,2022-01-28,"Central location, easy access."
480,25,70541,2023-04-24,"Central location, easy access."
481,25,37798,2022-11-22,"Lovely place, highly recommend!"
482,25,27153,2022-02-14,"Lovely place, highly recommend!"
483,25,72185,2023-10-24,Perfect for a family stay.
484,25,57885,2023-08-30,"Lovely place, highly recommend!"
485,25,73227,2023-11-11,Would definitely book again.
486,25,23125,2023-10-06,Good value for money.
487,25,57630,2024-02-10,"Central location, easy access."
488,25,25154,2023-01-30,Stunning property.
489,25,91210,2023-08-03,Great host and location.
490,25,95113,2022-06-23,"Lovely place, highly recommend!"
491,25,27983,2022-01-08,"Average stay, nothing special."
492,25,75416,2024-01-07,"Average stay, nothing special."
493,25,73211,2022-11-18,"Lovely place, highly recommend!"
494,25,35184,2022-04-05,"Central location, easy access."
495,25,49416,2023-07-26,Stunning property.
496,25,68082,2024-02-17,Good value for money.
497,26,13392,2023-11-22,"Amazing views, will return!"
498,26,19885,2022-05-19,Stunning property.
499,26,63931,2023-10-25,Stunning property.
500,26,51876,2022-01-08,Host was very responsive.
501,26,92258,2023-05-28,Noisy neighbourhood at night.
502,26,63532,2023-06-07,Perfect for a family stay.
503,26,59684,2022-03-19,Noisy neighbourhood at night.
504,26,26856,2022-05-23,Noisy neighbourhood at night.
505,26,56966,2023-11-03,Would definitely book again.
506,26,58051,2023-06-30,Noisy neighbourhood at night.
507,26,77314,2023-01-14,Small but functional.
508,26,7843,2024-03-06,Good value for money.
509,26,39015,2022-06-03,Would definitely book again.
510,26,47605,2023-02-17,Good value for money.
511,26,84448,2023-08-05,Host was very responsive.
512,26,35270,2022-11-02,Would definitely book again.
513,26,77724,2022-08-04,Great host and location.
514,26,71088,2022-07-06,Clean and comfortable.
515,26,93280,2022-05-01,"Lovely place, highly recommend!"
516,26,69550,2022-02-06,Noisy neighbourhood at night.
517,27,15926,2023-06-30,Perfect for a family stay.
518,27,97746,2022-05-15,Would definitely book again.
519,27,55414,2023-06-30,"Average stay, nothing special."
520,27,87310,2022-11-06,"Lovely place, highly recommend!"
521,27,93228,2023-05-06,Great host and location.
522,27,10916,2022-04-30,Perfect for a family stay.
523,27,31031,2022-07-17,"Not as described, disappointed."
524,27,88412,2023-12-17,Clean and comfortable.
525,27,52405,2022-12-11,Small but functional.
526,27,60534,2023-12-22,Clean and comfortable.
527,27,22602,2022-09-12,Small but functional.
528,27,57713,2023-04-12,"Amazing views, will return!"
529,27,50825,2023-10-10,Noisy neighbourhood at night.
530,27,12227,2022-09-28,Good value for money.
531,27,76458,2022-02-10,Good value for money.
532,27,44211,2022-05-31,Would definitely book again.
533,27,60546,2023-08-06,"Central location, easy access."
534,27,69132,2022-10-09,"Central location, easy access."
535,27,25769,2022-03-25,"Lovely place, highly recommend!"
536,27,39163,2022-08-14,"Amazing views, will return!"
537,28,59168,2022-08-04,Clean and comfortable.
538,28,80217,2022-11-02,"Amazing views, will return!"
539,28,95657,2023-04-04,Stunning property.
540,28,25912,2023-11-29,"Not as described, disappointed."
541,28,24176,2022-02-08,Perfect for a family stay.
542,28,78434,2022-11-23,Perfect for a family stay.
543,28,42700,2023-01-30,Stunning property.
544,28,52110,2023-04-20,Would definitely book again.
545,28,72473,2023-03-08,Small but functional.
546,28,58340,2022-07-07,Host was very responsive.
547,28,37481,2023-08-31,Great host and location.
548,28,41489,2022-10-01,"Average stay, nothing special."
549,28,89512,2023-12-04,Stunning property.
550,28,48475,2023-01-12,Perfect for a family stay.
551,28,71427,2022-01-12,"Average stay, nothing special."
552,28,67277,2022-10-09,Perfect for a family stay.
553,28,7303,2022-08-05,"Central location, easy access."
554,28,39303,2022-11-14,Clean and comfortable.
555,28,34372,2024-03-11,Good value for money.
556,28,56642,2023-07-27,Perfect for a family stay.
557,29,68849,2024-03-02,Small but functional.
558,29,22248,2023-05-25,Small but functional.
559,29,94843,2022-06-25,Small but functional.
560,29,15049,2022-05-14,Would definitely book again.
561,29,24343,2022-01-06,Host was very responsive.
562,29,69962,2023-09-23,Clean and comfortable.
563,29,48771,2023-12-11,Noisy neighbourhood at night.
564,29,29183,2022-08-04,Great host and location.
565,29,73347,2023-04-25,"Central location, easy access."
566,29,80034,2022-11-16,Noisy neighbourhood at night.
567,29,39590,2022-01-02,Good value for money.
568,29,53433,2022-11-27,Great host and location.
569,29,61789,2023-05-19,Host was very responsive.
570,29,10753,2022-04-14,Great host and location.
571,29,35536,2023-09-01,Clean and comfortable.
572,29,51795,2022-10-27,Noisy neighbourhood at night.
573,29,46995,2023-09-14,"Central location, easy access."
574,29,7332,2023-07-02,"Lovely place, highly recommend!"
575,29,65004,2022-12-10,Would definitely book again.
576,29,53886,2023-08-08,"Not as described, disappointed."
577,30,6872,2022-10-29,Stunning property.
578,30,36839,2023-08-08,Would definitely book again.
