listing_id,host_id,neighbourhood,room_type,property_type,bedrooms,bathrooms,accommodates,price_zar,minimum_nights,maximum_nights,availability_365,number_of_reviews,review_score_rating,reviews_per_month,instant_bookable,last_review
54,1767,Cape Town City Centre,Entire home/apt,Loft,4,4,8,2661,1,365,52,284,4.71,28.4,t,2024-01-07
55,1382,Cape Town City Centre,Entire home/apt,Apartment,2,1,4,2193,1,30,33,205,4.76,7.88,f,2024-03-06
56,1052,Cape Town City Centre,Entire home/apt,House,3,2,6,1299,7,365,15,236,4.81,12.42,t,2024-06-30
57,1153,Cape Town City Centre,Entire home/apt,Apartment,2,2,4,2473,3,365,210,228,4.96,10.86,t,2024-02-14
58,1659,Cape Town City Centre,Entire home/apt,Loft,4,4,8,2093,1,365,365,102,4.81,4.43,f,2024-06-25
59,1027,Cape Town City Centre,Private room,Studio,3,3,6,876,1,90,29,92,4.71,4.38,f,2024-10-26
60,1247,Cape Town City Centre,Entire home/apt,Villa,2,2,4,947,2,1125,198,336,4.81,10.5,t,2024-03-31
61,1606,Cape Town City Centre,Entire home/apt,Apartment,3,2,6,2638,2,1125,96,183,4.76,5.9,f,2024-10-04
62,1058,Cape Town City Centre,Entire home/apt,House,2,2,4,2279,1,1125,244,46,3.5,1.31,t,2024-03-07
63,1061,Cape Town City Centre,Entire home/apt,Apartment,2,2,4,3187,2,30,269,165,4.79,4.58,t,2024-07-10
64,1310,Cape Town City Centre,Shared room,Studio,4,4,8,399,2,365,327,172,4.94,6.62,f,2024-03-30
65,1180,Cape Town City Centre,Shared room,Guesthouse,3,2,6,751,3,60,90,301,4.92,8.36,f,2024-10-17
66,1227,Cape Town City Centre,Entire home/apt,Townhouse,2,2,4,2657,30,60,169,313,4.62,24.08,f,2024-06-12
67,1655,Cape Town City Centre,Entire home/apt,Studio,1,1,2,1239,1,90,107,343,3.87,42.88,f,2024-05-11
68,1751,Cape Town City Centre,Entire home/apt,Guesthouse,1,1,2,3639,7,365,193,224,4.81,12.44,t,2024-09-02
69,1035,Cape Town City Centre,Private room,Villa,2,2,4,753,5,90,53,37,4.72,3.36,f,2024-03-23
70,1347,Cape Town City Centre,Shared room,Townhouse,1,1,2,712,1,365,334,47,3.75,1.38,f,2024-03-21
71,1420,Cape Town City Centre,Entire home/apt,Loft,1,1,2,2552,3,90,121,97,4.73,5.39,f,2024-03-19
72,1302,Cape Town City Centre,Entire home/apt,Townhouse,3,2,6,1751,2,30,13,44,4.76,1.69,f,2024-02-11
73,1483,Cape Town City Centre,Private room,Cottage,1,1,2,2005,1,1125,198,203,4.76,5.97,f,2024-07-08
74,1477,Cape Town City Centre,Entire home/apt,Villa,5,5,10,2346,3,1125,31,225,4.75,8.04,t,2024-02-13
75,1775,Cape Town City Centre,Shared room,Townhouse,3,3,6,322,1,365,267,211,4.13,9.17,f,2024-10-20
76,1732,Cape Town City Centre,Entire home/apt,Apartment,5,5,10,2276,1,365,88,202,4.98,18.36,t,2024-04-08
77,1446,Cape Town City Centre,Entire home/apt,House,1,1,2,2620,3,90,34,349,3.63,15.17,f,2024-10-09
78,1718,Cape Town City Centre,Entire home/apt,Townhouse,3,2,6,2205,1,365,76,6,3.72,0.25,t,2024-02-24
79,1353,Cape Town City Centre,Private room,Guesthouse,1,1,2,1475,7,365,292,274,4.41,39.14,t,2024-05-21
80,1711,Cape Town City Centre,Private room,Guesthouse,2,2,4,300,7,90,353,348,3.86,12.0,f,2024-05-17
81,1319,Cape Town City Centre,Entire home/apt,Villa,1,1,2,1788,1,60,68,155,4.79,5.34,f,2024-06-13
82,1193,Cape Town City Centre,Entire home/apt,Cottage,4,4,8,1023,7,365,264,45,4.8,1.41,t,2024-09-20
83,1414,Cape Town City Centre,Entire home/apt,House,1,1,2,3298,2,60,102,259,4.95,19.92,t,2024-08-21
84,1378,Cape Town City Centre,Entire home/apt,Cottage,3,2,6,3291,1,30,123,140,4.06,5.6,f,2024-03-31
85,1767,Cape Town City Centre,Private room,Apartment,3,2,6,1334,1,365,25,132,4.75,5.5,t,2024-04-23
86,1668,Cape Town City Centre,Shared room,Guesthouse,2,2,4,300,1,365,67,137,4.47,5.48,t,2024-04-24
87,1282,Cape Town City Centre,Entire home/apt,Guesthouse,3,2,6,3514,5,365,129,329,3.83,21.93,f,2024-10-26
88,1384,Cape Town City Centre,Entire home/apt,Loft,1,1,2,1867,3,30,246,339,3.6,24.21,f,2024-05-21
89,1784,Cape Town City Centre,Entire home/apt,House,3,3,6,2082,7,90,348,264,4.74,44.0,f,2024-05-31
90,1598,Cape Town City Centre,Entire home/apt,Townhouse,4,4,8,2287,5,60,351,18,4.3,0.58,f,2024-12-09
91,1572,Cape Town City Centre,Entire home/apt,House,3,2,6,2448,1,365,65,336,4.61,11.59,t,2024-12-14
92,1763,Cape Town City Centre,Entire home/apt,Villa,1,1,2,2554,5,90,133,114,4.88,5.7,t,2024-08-28
93,1513,Cape Town City Centre,Entire home/apt,Apartment,1,1,2,2576,3,365,27,99,4.81,9.9,t,2024-04-12
94,1147,Cape Town City Centre,Entire home/apt,Studio,4,4,8,2120,1,365,170,234,4.45,21.27,f,2024-11-20
95,1780,Cape Town City Centre,Entire home/apt,House,1,1,2,2567,30,30,66,107,4.42,4.12,f,2024-07-25
96,1547,Cape Town City Centre,Private room,House,5,4,10,885,1,90,271,19,3.79,0.7,t,2024-11-16
97,1320,Cape Town City Centre,Shared room,House,2,2,4,758,7,1125,301,176,4.79,22.0,t,2024-06-01
98,1537,Cape Town City Centre,Entire home/apt,Studio,5,4,10,2473,2,90,250,305,4.04,25.42,t,2024-07-25
99,1217,Cape Town City Centre,Entire home/apt,Apartment,2,2,4,2619,1,90,364,67,4.9,9.57,f,2024-11-23
100,1678,Cape Town City Centre,Entire home/apt,Apartment,1,1,2,2550,1,30,213,24,4.17,2.67,f,2024-08-30
101,1010,Cape Town City Centre,Shared room,Villa,2,1,4,300,1,1125,138,322,4.89,11.5,t,2024-08-02
102,1510,Cape Town City Centre,Entire home/apt,House,1,1,2,2452,3,1125,103,54,4.81,2.84,f,2024-03-23
103,1339,Cape Town City Centre,Entire home/apt,House,5,5,10,2559,1,30,56,246,4.75,9.11,f,2024-03-17
104,1263,Cape Town City Centre,Entire home/apt,House,1,1,2,1489,3,90,237,51,3.58,1.59,t,2024-01-21
105,1437,Cape Town City Centre,Entire home/apt,Apartment,3,3,6,2049,1,30,70,160,4.5,14.55,f,2024-07-02
106,1382,Cape Town City Centre,Private room,Studio,3,3,6,1324,1,365,204,47,4.94,3.36,f,2024-12-19
107,1116,Cape Town City Centre,Private room,House,4,4,8,1930,2,30,213,85,4.87,4.05,f,2024-04-02
108,1030,Cape Town City Centre,Private room,House,4,3,8,1443,30,30,210,313,4.16,39.12,f,2024-12-01
109,1538,Cape Town City Centre,Entire home/apt,Townhouse,1,1,2,3174,5,1125,267,347,4.53,13.88,t,2024-08-09
110,1693,Cape Town City Centre,Shared room,Guesthouse,2,2,4,300,1,30,329,339,4.9,15.41,f,2024-09-10
111,1247,Cape Town City Centre,Entire home/apt,Studio,1,1,2,2337,1,1125,114,164,4.33,9.11,f,2024-04-30
112,1459,Cape Town City Centre,Entire home/apt,Apartment,5,4,10,2643,30,90,60,293,4.97,10.1,t,2024-02-22
113,1001,Cape Town City Centre,Private room,Apartment,4,3,8,300,2,365,174,281,4.81,40.14,t,2024-08-20
114,1734,Cape Town City Centre,Entire home/apt,Cottage,5,5,10,3030,1,60,1,186,4.01,5.81,f,2024-10-07
115,1169,Cape Town City Centre,Private room,Cottage,3,3,6,300,7,30,130,23,4.42,1.92,t,2024-07-20
116,1734,Cape Town City Centre,Entire home/apt,Studio,5,5,10,2748,7,30,324,97,4.76,4.04,t,2024-08-18
117,1544,Cape Town City Centre,Private room,Apartment,2,1,4,1367,30,1125,90,2,4.54,0.18,t,2024-02-23
118,1429,Cape Town City Centre,Private room,Townhouse,3,3,6,300,3,365,175,196,4.96,9.8,t,2024-03-11
119,1322,Cape Town City Centre,Private room,Loft,3,3,6,300,2,60,319,280,4.57,10.37,f,2024-12-10
120,1331,Cape Town City Centre,Entire home/apt,Apartment,2,1,4,2987,30,1125,292,326,4.91,11.64,f,2024-12-11
121,1014,Cape Town City Centre,Shared room,Loft,3,3,6,1108,1,365,74,216,3.58,30.86,t,2024-05-16
122,1064,Cape Town City Centre,Entire home/apt,Villa,3,3,6,1715,1,90,231,74,3.65,2.24,t,2024-11-27
123,1710,Cape Town City Centre,Private room,Apartment,4,3,8,504,7,365,350,147,4.79,6.39,t,2024-01-07
124,1231,Cape Town City Centre,Shared room,Studio,3,3,6,721,2,90,229,226,4.75,8.37,t,2024-04-05
125,1286,Cape Town City Centre,Entire home/apt,Loft,1,1,2,2192,2,60,299,219,4.77,36.5,f,2024-08-26
126,1612,Cape Town City Centre,Shared room,Apartment,2,1,4,1019,30,1125,281,165,4.81,5.32,f,2024-09-26
127,1164,Cape Town City Centre,Entire home/apt,Guesthouse,2,1,4,2463,1,90,113,258,4.83,9.56,f,2024-06-18
128,1544,Cape Town City Centre,Entire home/apt,Cottage,3,3,6,3070,1,90,228,316,4.77,12.15,t,2024-01-21
129,1396,Cape Town City Centre,Shared room,Villa,3,2,6,973,1,1125,191,58,4.27,2.64,f,2024-09-06
130,1329,Cape Town City Centre,Entire home/apt,Loft,3,3,6,2596,1,60,275,98,4.3,3.77,t,2024-04-17
131,1107,Cape Town City Centre,Shared room,House,2,1,4,300,1,60,12,217,4.19,13.56,t,2024-02-14
132,1572,Cape Town City Centre,Entire home/apt,Apartment,1,1,2,1966,3,365,198,128,4.84,7.11,f,2024-06-10
133,1007,Cape Town City Centre,Entire home/apt,Townhouse,4,4,8,2171,1,30,183,273,4.89,30.33,f,2024-12-17
134,1391,Cape Town City Centre,Entire home/apt,Guesthouse,1,1,2,3212,30,60,273,224,4.77,7.72,f,2024-10-06
135,1383,Cape Town City Centre,Entire home/apt,Apartment,2,2,4,1976,1,30,2,331,4.87,18.39,t,2024-06-05
136,1525,Cape Town City Centre,Entire home/apt,House,3,3,6,2343,2,60,315,330,4.95,27.5,t,2024-04-02
137,1473,Cape Town City Centre,Shared room,Loft,1,1,2,300,3,30,128,281,3.65,9.69,f,2024-06-18
138,1103,Cape Town City Centre,Entire home/apt,Villa,2,2,4,2571,2,90,248,120,4.18,4.8,f,2024-12-21
139,1324,Cape Town City Centre,Private room,Guesthouse,2,2,4,2231,1,90,126,186,4.68,6.64,f,2024-05-21
140,1492,Cape Town City Centre,Entire home/apt,Cottage,2,1,4,1686,5,90,249,169,4.33,15.36,t,2024-05-23
141,1079,Cape Town City Centre,Entire home/apt,Apartment,2,2,4,3945,1,1125,296,320,4.82,13.33,t,2024-01-19
142,1484,Cape Town City Centre,Private room,House,3,2,6,1090,7,60,301,276,4.6,18.4,t,2024-08-25
143,1011,Cape Town City Centre,Private room,House,1,1,2,300,2,365,81,257,3.77,7.14,t,2024-09-04
144,1238,Cape Town City Centre,Entire home/apt,Apartment,1,1,2,1987,5,60,21,249,4.9,11.32,f,2024-07-17
145,1665,Cape Town City Centre,Private room,Studio,5,5,10,1721,3,90,296,20,4.32,1.82,f,2024-11-30
146,1530,Cape Town City Centre,Private room,Villa,3,2,6,2089,2,1125,207,39,4.03,1.18,f,2024-09-06
147,1451,Cape Town City Centre,Private room,House,1,1,2,1384,1,1125,329,71,3.92,7.1,t,2024-03-21
148,1339,Cape Town City Centre,Entire home/apt,Apartment,1,1,2,3062,30,365,107,212,4.39,8.15,f,2024-01-12
149,1165,Cape Town City Centre,Entire home/apt,House,1,1,2,1552,2,30,85,303,4.78,27.55,f,2024-11-02
150,1291,Cape Town City Centre,Private room,Apartment,1,1,2,615,30,1125,241,338,4.8,30.73,t,2024-07-29
151,1639,Cape Town City Centre,Private room,Loft,2,1,4,300,2,90,232,93,4.39,11.62,t,2024-07-12
152,1536,Cape Town City Centre,Private room,Loft,2,1,4,657,2,1125,49,103,4.75,3.03,t,2024-09-29
153,1134,Cape Town City Centre,Private room,Townhouse,1,1,2,1409,7,1125,215,337,4.81,48.14,f,2024-04-27
154,1101,Cape Town City Centre,Private room,Guesthouse,4,4,8,1106,3,365,119,294,4.97,36.75,f,2024-11-02
155,1727,Cape Town City Centre,Private room,Apartment,4,4,8,1467,1,365,335,2,4.76,0.06,f,2024-07-28
156,1600,Cape Town City Centre,Entire home/apt,Villa,1,1,2,1684,7,1125,187,333,4.88,12.33,f,2024-04-14
157,1569,Cape Town City Centre,Private room,Cottage,5,4,10,508,3,1125,176,286,4.93,15.89,t,2024-12-03
158,1103,Cape Town City Centre,Entire home/apt,House,2,1,4,2312,5,1125,314,82,4.55,2.93,t,2024-03-23
159,1483,Cape Town City Centre,Private room,Townhouse,1,1,2,658,1,30,134,74,3.83,9.25,t,2024-07-15
160,1059,Cape Town City Centre,Private room,House,3,2,6,1706,30,30,103,305,4.78,8.71,f,2024-04-09
161,1037,Cape Town City Centre,Entire home/apt,Studio,2,2,4,1854,1,60,44,345,5.0,11.5,f,2024-06-29
162,1531,Cape Town City Centre,Shared room,Apartment,4,4,8,300,1,1125,145,102,4.59,4.43,f,2024-06-26
163,1466,Cape Town City Centre,Entire home/apt,Guesthouse,2,2,4,2430,3,60,208,99,4.26,4.3,t,2024-09-14
164,1264,Cape Town City Centre,Entire home/apt,Loft,3,2,6,1985,30,365,288,262,4.23,20.15,f,2024-08-22
165,1494,Cape Town City Centre,Shared room,Apartment,5,4,10,300,1,365,324,14,4.68,1.08,t,2024-06-10
166,1718,Cape Town City Centre,Private room,Villa,3,3,6,385,3,30,204,4,4.51,0.12,f,2024-02-08
167,1224,Cape Town City Centre,Private room,Townhouse,2,1,4,1285,2,60,255,181,4.61,13.92,t,2024-05-15
168,1634,Cape Town City Centre,Entire home/apt,Studio,2,2,4,1452,1,30,40,127,4.9,4.7,f,2024-11-10
169,1636,Cape Town City Centre,Entire home/apt,Studio,1,1,2,2968,3,365,93,190,4.98,5.43,f,2024-07-22
170,1490,Cape Town City Centre,Entire home/apt,Loft,2,2,4,1820,5,365,351,216,4.93,10.8,t,2024-12-23
171,1013,Cape Town City Centre,Private room,House,5,4,10,1328,1,90,185,4,4.88,0.29,t,2024-10-07
172,1352,Cape Town City Centre,Entire home/apt,Studio,2,2,4,1853,30,365,107,313,4.83,10.43,f,2024-07-05
173,1135,Cape Town City Centre,Private room,Townhouse,3,3,6,486,1,90,120,292,4.33,8.85,f,2024-04-10
174,1181,Cape Town City Centre,Entire home/apt,Guesthouse,2,1,4,2335,2,1125,273,4,4.58,0.13,f,2024-06-02
175,1062,Cape Town City Centre,Entire home/apt,House,1,1,2,2778,30,30,230,83,4.62,5.93,f,2024-07-03
176,1125,Cape Town City Centre,Private room,Studio,3,3,6,853,2,90,181,210,4.8,9.55,f,2024-08-16
177,1647,Cape Town City Centre,Entire home/apt,House,4,4,8,2163,5,365,323,237,4.42,13.17,t,2024-02-10
178,1669,Cape Town City Centre,Entire home/apt,Villa,3,2,6,2644,7,90,227,162,4.93,4.5,f,2024-10-27
179,1024,Cape Town City Centre,Private room,House,5,5,10,1452,3,30,107,94,3.75,10.44,t,2024-02-02
180,1537,Cape Town City Centre,Private room,Apartment,1,1,2,968,3,1125,79,203,4.73,5.8,f,2024-06-07
181,1642,Cape Town City Centre,Entire home/apt,House,2,2,4,1956,2,30,17,226,4.5,6.85,f,2024-08-31
182,1715,Cape Town City Centre,Private room,Loft,3,3,6,1035,30,1125,222,69,4.29,2.65,f,2024-06-26
183,1316,Cape Town City Centre,Private room,Studio,2,1,4,884,3,60,155,226,3.52,10.27,t,2024-06-25
184,1774,Cape Town City Centre,Entire home/apt,Cottage,5,4,10,2372,1,365,149,251,4.4,8.1,t,2024-10-07
185,1448,Cape Town City Centre,Entire home/apt,Guesthouse,2,2,4,1543,2,365,193,287,3.83,35.88,f,2024-11-16
186,1276,Cape Town City Centre,Entire home/apt,Guesthouse,3,3,6,2352,1,60,69,272,4.79,10.46,f,2024-11-12
187,1193,Cape Town City Centre,Private room,Studio,3,3,6,594,2,30,273,251,3.53,27.89,f,2024-05-17
188,1093,Cape Town City Centre,Entire home/apt,House,5,5,10,2698,30,60,175,119,4.13,3.84,f,2024-07-09
189,1058,Cape Town City Centre,Private room,Villa,1,1,2,620,1,1125,240,74,4.75,2.18,f,2024-07-14
190,1395,Cape Town City Centre,Entire home/apt,Cottage,1,1,2,1839,1,60,235,127,4.6,14.11,t,2024-08-30
191,1645,Cape Town City Centre,Private room,Apartment,3,3,6,1234,3,365,326,81,3.95,4.76,t,2024-12-07
192,1333,Cape Town City Centre,Entire home/apt,Apartment,1,1,2,2207,3,1125,61,222,4.82,17.08,t,2024-01-22
193,1381,Cape Town City Centre,Private room,Apartment,5,5,10,2242,2,365,46,79,4.53,4.94,t,2024-01-31
194,1129,Cape Town City Centre,Entire home/apt,Cottage,2,2,4,1303,5,1125,330,54,4.64,1.74,f,2024-04-08
195,1257,Cape Town City Centre,Entire home/apt,Apartment,4,3,8,2260,30,1125,150,68,4.86,3.24,t,2024-10-17
196,1282,Cape Town City Centre,Entire home/apt,Townhouse,3,3,6,2821,1,1125,79,239,4.83,7.47,f,2024-10-04
197,1519,Cape Town City Centre,Entire home/apt,Guesthouse,5,5,10,1881,1,1125,186,326,4.93,25.08,f,2024-02-02
198,1510,Cape Town City Centre,Shared room,Loft,4,4,8,300,3,90,209,349,4.89,38.78,t,2024-09-24
199,1183,Cape Town City Centre,Shared room,Apartment,1,1,2,300,1,365,98,66,4.73,2.75,f,2024-12-02
200,1621,Cape Town City Centre,Private room,Apartment,3,3,6,300,2,365,40,113,4.84,4.35,t,2024-07-03
201,1632,Cape Town City Centre,Private room,Villa,4,4,8,1732,1,90,39,29,4.92,0.81,t,2024-02-21
202,1198,Cape Town City Centre,Shared room,Loft,2,2,4,300,2,1125,285,97,4.12,10.78,f,2024-12-11
203,1185,Cape Town City Centre,Private room,Loft,4,3,8,743,5,60,273,85,5.0,4.25,f,2024-06-10
204,1783,Cape Town City Centre,Private room,Guesthouse,3,2,6,300,2,1125,279,211,3.82,7.03,f,2024-07-03
205,1744,Cape Town City Centre,Private room,Apartment,5,4,10,300,1,1125,69,0,,0.0,f,
206,1323,Cape Town City Centre,Entire home/apt,Apartment,3,2,6,3005,2,30,19,109,4.19,10.9,t,2024-05-15
207,1095,Cape Town City Centre,Entire home/apt,Townhouse,2,1,4,2366,2,30,166,153,4.94,13.91,f,2024-12-19
208,1039,Cape Town City Centre,Shared room,Townhouse,1,1,2,1081,1,30,171,153,4.02,4.78,f,2024-08-01
209,1012,Cape Town City Centre,Entire home/apt,Guesthouse,2,2,4,2771,3,1125,21,308,3.98,12.83,t,2024-06-16
210,1750,Cape Town City Centre,Private room,Guesthouse,2,1,4,439,1,60,221,344,4.79,19.11,t,2024-03-08
211,1562,Cape Town City Centre,Entire home/apt,Guesthouse,1,1,2,3536,1,365,256,25,4.15,0.89,t,2024-03-10
212,1586,Cape Town City Centre,Private room,House,2,2,4,2062,2,30,136,333,4.67,20.81,t,2024-02-27
213,1196,Cape Town City Centre,Shared room,Studio,4,3,8,300,1,90,86,178,4.98,7.12,f,2024-11-15
214,1205,Cape Town City Centre,Entire home/apt,Studio,5,5,10,300,1,30,27,119,4.77,4.76,t,2024-05-27
215,1313,Cape Town City Centre,Entire home/apt,Cottage,3,2,6,2003,1,90,107,56,4.61,4.67,t,2024-10-06
216,1748,Cape Town City Centre,Private room,House,3,3,6,1121,7,1125,339,318,4.29,22.71,t,2024-01-31
217,1278,Cape Town City Centre,Entire home/apt,Apartment,2,1,4,1887,1,30,198,316,4.49,11.7,f,2024-02-25
218,1396,Cape Town City Centre,Entire home/apt,House,3,2,6,2078,1,90,248,332,4.8,14.43,t,2024-04-05
219,1041,Cape Town City Centre,Entire home/apt,House,5,4,10,1744,5,365,201,11,4.62,1.83,f,2024-12-16
220,1514,Cape Town City Centre,Entire home/apt,Villa,3,3,6,2706,3,365,15,120,4.92,3.33,f,2024-04-25
221,1141,Cape Town City Centre,Entire home/apt,Apartment,3,2,6,2234,2,365,123,336,4.36,17.68,f,2024-11-05
222,1669,Cape Town City Centre,Entire home/apt,House,5,5,10,2723,2,90,352,105,4.56,4.77,t,2024-08-08
223,1546,Cape Town City Centre,Entire home/apt,Apartment,2,2,4,2872,5,60,15,285,4.93,8.38,f,2024-07-29
224,1757,Cape Town City Centre,Entire home/apt,Villa,5,5,10,1004,2,30,67,326,3.78,10.87,f,2024-11-06
225,1704,Cape Town City Centre,Private room,Apartment,2,1,4,566,1,365,68,118,4.25,4.72,f,2024-12-30
226,1504,Cape Town City Centre,Shared room,Cottage,3,3,6,300,2,60,115,198,4.71,6.6,t,2024-05-18
227,1776,Cape Town City Centre,Private room,House,2,2,4,2404,2,365,315,103,4.23,6.44,f,2024-05-06
228,1753,Cape Town City Centre,Private room,Guesthouse,4,3,8,1071,7,1125,292,311,4.39,14.14,t,2024-09-23
229,1252,Cape Town City Centre,Entire home/apt,Loft,5,4,10,2646,1,1125,198,21,4.27,0.81,t,2024-04-07
230,1793,Cape Town City Centre,Entire home/apt,Villa,5,4,10,1165,2,365,150,155,4.42,22.14,t,2024-08-25
231,1116,Cape Town City Centre,Shared room,House,5,5,10,518,7,365,165,256,4.84,23.27,f,2024-10-29
